https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1693958400000,2023-09-06 00:00:00,ATOM/USDT,6.816,6.914,6.722,6.895,4212509.56,616986.733647,2081469.21,305076.92047,29539,6.827
1693872000000,2023-09-05 00:00:00,ATOM/USDT,6.725,6.843,6.668,6.812,4612906.92,683150.183116,1948356.14,288272.802355,33080,6.752
1693785600000,2023-09-04 00:00:00,ATOM/USDT,6.81,6.915,6.671,6.724,6647396.89,978594.59402,3359308.85,494921.54314,66185,6.793
1693699200000,2023-09-03 00:00:00,ATOM/USDT,6.828,6.879,6.761,6.808,8910036.18,1305278.85571,4824128.76,706774.347981,98235,6.826
1693612800000,2023-09-02 00:00:00,ATOM/USDT,6.661,6.835,6.632,6.828,8052823.06,1196815.411996,4131033.33,613693.962196,89698,6.729
1693526400000,2023-09-01 00:00:00,ATOM/USDT,6.913,6.976,6.644,6.668,8161954.09,1189633.474262,4135410.3,602309.08574,89471,6.862
1693440000000,2023-08-31 00:00:00,ATOM/USDT,7.22,7.262,6.812,6.92,12104318.16,1703960.113652,6413602.7,902429.866501,140501,7.105
1693353600000,2023-08-30 00:00:00,ATOM/USDT,7.442,7.46,7.185,7.221,14662755.21,2010679.901089,7279385.43,998989.48465,169755,7.293
1693267200000,2023-08-29 00:00:00,ATOM/USDT,7.267,7.508,7.122,7.439,7602494.24,1043070.259176,3878736.45,533906.99681,80284,7.29
1693180800000,2023-08-28 00:00:00,ATOM/USDT,7.179,7.279,7.064,7.265,9730182.55,1355308.067046,5243011.74,730322.963115,98982,7.179
1693094400000,2023-08-27 00:00:00,ATOM/USDT,7.149,7.203,7.1,7.18,12223492.26,1709514.577409,5914772.95,826994.179157,144496,7.15
1693008000000,2023-08-26 00:00:00,ATOM/USDT,7.249,7.263,7.133,7.153,12253199.69,1702450.882564,5824265.63,809067.803687,146189,7.197
1692921600000,2023-08-25 00:00:00,ATOM/USDT,7.201,7.268,7.054,7.248,11708274.84,1627913.525002,6277185.57,872722.032308,140851,7.192
1692835200000,2023-08-24 00:00:00,ATOM/USDT,7.428,7.454,7.102,7.209,11876956.52,1624046.093492,6057772.55,828302.24554,143641,7.314
1692748800000,2023-08-23 00:00:00,ATOM/USDT,7.395,7.536,7.31,7.425,11607456.72,1565943.134374,5929412.45,799888.208414,141630,7.412
1692662400000,2023-08-22 00:00:00,ATOM/USDT,7.545,7.556,7.127,7.396,12098080.49,1635895.680769,6141781.03,830429.067458,142598,7.396
1692576000000,2023-08-21 00:00:00,ATOM/USDT,7.859,7.879,7.42,7.543,13195618.99,1722985.665272,6723564.91,877885.578517,157008,7.66
1692489600000,2023-08-20 00:00:00,ATOM/USDT,7.702,7.897,7.685,7.859,21872503.15,2808436.779057,11254138.27,1445063.719973,279645,7.788
1692403200000,2023-08-19 00:00:00,ATOM/USDT,7.583,7.728,7.507,7.699,12503939.64,1642290.572901,6434905.56,845183.932697,185079,7.613
1692316800000,2023-08-18 00:00:00,ATOM/USDT,7.39,7.697,7.364,7.571,4358399.56,579088.624769,2233943.6,296825.253694,114957,7.526
1692230400000,2023-08-17 00:00:00,ATOM/USDT,7.792,8.215,7.187,7.396,4272118.42,540751.084229,2212165.68,279931.382783,92474,7.904
1692144000000,2023-08-16 00:00:00,ATOM/USDT,8.092,8.125,7.62,7.798,3689638.43,464229.677198,1864841.57,234623.671435,73353,7.949
1692057600000,2023-08-15 00:00:00,ATOM/USDT,8.513,8.549,7.85,8.111,6543789.44,775531.000363,3339105.84,395768.866137,77351,8.44
1691971200000,2023-08-14 00:00:00,ATOM/USDT,8.37,8.575,8.333,8.512,11425958.57,1351468.837322,5787234.95,684505.369176,85969,8.454
1691884800000,2023-08-13 00:00:00,ATOM/USDT,8.42,8.5,8.345,8.374,12523909.76,1485687.412226,6356056.71,753992.76241,98729,8.429
1691798400000,2023-08-12 00:00:00,ATOM/USDT,8.346,8.431,8.335,8.419,11801836.2,1407219.439678,6007351.45,716295.032685,96643,8.386
1691712000000,2023-08-11 00:00:00,ATOM/USDT,8.412,8.464,8.325,8.347,12155262.26,1450180.970454,6175684.17,736795.599226,97851,8.381
1691625600000,2023-08-10 00:00:00,ATOM/USDT,8.541,8.563,8.402,8.416,12099675.76,1429011.784589,6140555.25,725211.935524,98258,8.467
1691539200000,2023-08-09 00:00:00,ATOM/USDT,8.522,8.665,8.436,8.541,11689872.53,1369609.8487,5869113.29,687645.99564,95520,8.535
1691452800000,2023-08-08 00:00:00,ATOM/USDT,8.5,8.656,8.448,8.524,12174137.3,1425091.994115,6152942.7,720266.176357,98829,8.542
1691366400000,2023-08-07 00:00:00,ATOM/USDT,8.487,8.588,8.276,8.497,12308519.04,1451298.032995,6198433.94,730843.486922,99202,8.481
1691280000000,2023-08-06 00:00:00,ATOM/USDT,8.51,8.585,8.449,8.487,11811273.49,1386127.48415,5988069.65,702738.159147,100577,8.521
1691193600000,2023-08-05 00:00:00,ATOM/USDT,8.475,8.541,8.375,8.51,10271682.86,1214869.815399,5200301.37,615062.707855,97783,8.455
1691107200000,2023-08-04 00:00:00,ATOM/USDT,8.614,8.68,8.386,8.479,7933083.58,923239.39057,4028709,468869.148976,96364,8.593
1691020800000,2023-08-03 00:00:00,ATOM/USDT,8.706,8.777,8.603,8.615,14932068.37,1717292.681658,7569612.51,870555.235059,103569,8.695
1690934400000,2023-08-02 00:00:00,ATOM/USDT,8.987,9.018,8.684,8.717,7425917.43,837713.59492,3756534.19,423788.795863,98505,8.865
1690848000000,2023-08-01 00:00:00,ATOM/USDT,8.846,8.99,8.6,8.978,4099540.93,465885.379163,2063890.74,234554.326629,52532,8.799
1690761600000,2023-07-31 00:00:00,ATOM/USDT,9.003,9.108,8.772,8.849,2100086.53,235061.471678,1069487.84,119697.496445,34939,8.934
1690675200000,2023-07-30 00:00:00,ATOM/USDT,9.066,9.083,8.859,9.007,444930.5,49241.412108,222399.56,24611.60567,10048,9.035
1690588800000,2023-07-29 00:00:00,ATOM/USDT,9.032,9.083,8.981,9.064,430418,47619.406866,216769.43,23983.209975,12693,9.038
