https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1700697600000,2023-11-23 00:00:00,APT/USDT,7.316,7.44,7.167,7.272,6468644.101,886909.84713,3272023.259,448621.38215,91925,7.293
1700611200000,2023-11-22 00:00:00,APT/USDT,6.951,7.456,6.951,7.316,6559953.892,906818.88993,3312364.812,457875.60019,93205,7.235
1700524800000,2023-11-21 00:00:00,APT/USDT,7.224,7.506,6.951,6.951,6327591.053,869195.05145,3189438.423,438122.72437,89931,7.281
1700438400000,2023-11-20 00:00:00,APT/USDT,7.218,7.526,7.154,7.224,5760320.324,786636.18241,2902983.107,396440.06398,82502,7.323
1700352000000,2023-11-19 00:00:00,APT/USDT,7.096,7.261,7.017,7.219,3153382.092,444132.13637,1570783.226,221259.13583,44412,7.1
1700265600000,2023-11-18 00:00:00,APT/USDT,7.267,7.268,6.95,7.095,2833984.876,403383.9225,1425948.507,202960.08685,40142,7.026
1700179200000,2023-11-17 00:00:00,APT/USDT,7.284,7.673,7.09,7.269,7953362.442,1081929.19337,3999686.335,544113.10316,113073,7.353
1700092800000,2023-11-16 00:00:00,APT/USDT,7.694,8.25,7.189,7.285,8299301.745,1089108.80068,4191675.187,550193.78939,119242,7.626
1700006400000,2023-11-15 00:00:00,APT/USDT,7.13,7.763,7.081,7.692,7865009.984,1059790.03335,3996653.771,538541.72382,112955,7.427
1699920000000,2023-11-14 00:00:00,APT/USDT,7.316,7.363,6.81,7.13,9095453.748,1265220.41719,4636780.873,645012.86132,130390,7.189
1699833600000,2023-11-13 00:00:00,APT/USDT,7.81,7.968,7.237,7.317,2658264.424,344490.8471,1333141.005,172781.25836,38254,7.718
1699747200000,2023-11-12 00:00:00,APT/USDT,7.664,8.052,7.231,7.811,6351742.859,816525.80886,3226815.267,414778.87412,92121,7.786
1699660800000,2023-11-11 00:00:00,APT/USDT,7.216,7.877,7.199,7.667,5262803.881,705378.70839,2664773.784,357185.58604,75502,7.465
1699574400000,2023-11-10 00:00:00,APT/USDT,7.297,7.599,6.883,7.216,5867971.917,797253.94091,2956234.661,401656.39866,84557,7.362
1699488000000,2023-11-09 00:00:00,APT/USDT,7.419,7.717,6.444,7.294,6163704.155,840406.5821,3102038.214,422996.24203,88603,7.342
