https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1669248000,2022-11-24,DOGE/USD,0.08152,0.0864,0.07965,0.08114,66498.80083,5395.7126993462
1669161600,2022-11-23,DOGE/USD,0.078,0.13,0.078,0.08129,242671.199805,19726.74183214845
1669075200,2022-11-22,DOGE/USD,0.07508,0.07999,0.07257,0.07999,184065.809244,14723.424081427562
1668988800,2022-11-21,DOGE/USD,0.076,0.07728,0.07112,0.07524,214192.103213,16115.81384574612
1668902400,2022-11-20,DOGE/USD,0.08452,0.08603,0.077,0.07766,123267.294337,9572.93807821142
1668816000,2022-11-19,DOGE/USD,0.084,0.08682,0.0833,0.08682,38945.941597,3381.2866494515397
1668729600,2022-11-18,DOGE/USD,0.08559,0.08778,0.08331,0.08383,101032.530608,8469.55704086864
1668643200,2022-11-17,DOGE/USD,0.08528,0.0878,0.08251,0.08524,185111.712482,15778.92237196568
1668556800,2022-11-16,DOGE/USD,0.08666,0.09,0.08299,0.08549,135857.955,11614.496572949998
1668470400,2022-11-15,DOGE/USD,0.08597,0.0893,0.08307,0.08667,75407.184964,6535.54072082988
1668384000,2022-11-14,DOGE/USD,0.08495,0.09106,0.07922,0.09061,473054.377026,42863.45710232586
1668297600,2022-11-13,DOGE/USD,0.08962,0.09179,0.08171,0.0848,89372.820287,7578.8151603376
1668211200,2022-11-12,DOGE/USD,0.08401,0.09484,0.07841,0.0899,532093.591445,47835.2138709055
1668124800,2022-11-11,DOGE/USD,0.08979,0.093,0.08001,0.08509,144443.159167,12290.66841352003
1668038400,2022-11-10,DOGE/USD,0.07496,0.0973,0.07212,0.08849,455581.329511,40314.39184842839
1667952000,2022-11-09,DOGE/USD,0.08825,0.09348,0.07082,0.07502,803332.108776,60265.97480037552
1667865600,2022-11-08,DOGE/USD,0.11259,0.11777,0.0777,0.08779,964990.574323,84716.52251981618
1667779200,2022-11-07,DOGE/USD,0.11565,0.11899,0.108,0.11085,808746.987503,89649.60356470755
1667692800,2022-11-06,DOGE/USD,0.1225,0.13499,0.11,0.11383,232912.52217,26512.4323986111
1667606400,2022-11-05,DOGE/USD,0.12511,0.13576,0.12063,0.12295,316994.937919,38974.52761714105
1667520000,2022-11-04,DOGE/USD,0.12038,0.12974,0.115,0.12542,1266903.113635,158894.9885121017
1667433600,2022-11-03,DOGE/USD,0.1291,0.13522,0.1201,0.12293,279271.954156,34330.90132439708
1667347200,2022-11-02,DOGE/USD,0.14221,0.15555,0.1226,0.12793,1633283.234021,208945.92412830653
1667260800,2022-11-01,DOGE/USD,0.12768,0.199,0.12476,0.14338,3046224.620259,436767.68605273543
1667174400,2022-10-31,DOGE/USD,0.11785,0.13182,0.11437,0.12777,2267871.572224,289765.95078306046
1667088000,2022-10-30,DOGE/USD,0.11552,0.143,0.11233,0.11796,2551561.361902,300982.1782499599
1667001600,2022-10-29,DOGE/USD,0.08332,0.1546,0.0808,0.12338,4388643.827608,541470.875450275
1666915200,2022-10-28,DOGE/USD,0.07604,0.08888,0.071,0.08408,672401.811167,56535.54428292136
