https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1661212800000,2022-08-23 00:00:00,DOGE/USD,0.07541536,0.076,0.07372197,0.07552727,33017.06312724186,437154.19777839
1661126400000,2022-08-22 00:00:00,DOGE/USD,0.07614207,0.07614207,0.07533398,0.07536919,683.9188635016202,9074.2498825
1661040000000,2022-08-21 00:00:00,DOGE/USD,0.07669315,0.0777013,0.07302,0.0761414,37276.43935075842,489568.60985953
1660953600000,2022-08-20 00:00:00,DOGE/USD,0.0749608,0.07797063,0.07481657,0.07660768,21743.376913302534,283827.63860363
1660867200000,2022-08-19 00:00:00,DOGE/USD,0.08108368,0.08155936,0.07386452,0.07461776,45990.01243702299,616341.37016473
1660780800000,2022-08-18 00:00:00,DOGE/USD,0.08672666,0.08896451,0.0800801,0.08107187,53174.94047951003,655898.77820149
1660694400000,2022-08-17 00:00:00,DOGE/USD,0.09328729,0.095,0.08620159,0.08689659,37765.13851024233,434598.62475895
1660608000000,2022-08-16 00:00:00,DOGE/USD,0.08172609,0.09560474,0.08139804,0.09328308,117650.100770401,1261215.86862699
1660521600000,2022-08-15 00:00:00,DOGE/USD,0.08670549,0.08693149,0.07972651,0.08181828,32293.245451140672,394694.74854691
1660435200000,2022-08-14 00:00:00,DOGE/USD,0.07728626,0.08976999,0.07707336,0.08677139,95927.5921374844,1105520.98033101
1660348800000,2022-08-13 00:00:00,DOGE/USD,0.07666123,0.0793,0.07613401,0.0772258,49671.68942315595,643200.71042522
1660262400000,2022-08-12 00:00:00,DOGE/USD,0.07524653,0.07696123,0.07377701,0.07667579,29196.840506441735,380783.04124994
1660176000000,2022-08-11 00:00:00,DOGE/USD,0.07601815,0.07929854,0.07500876,0.07517676,55193.13302053703,734178.12925879
1660089600000,2022-08-10 00:00:00,DOGE/USD,0.07412201,0.07649286,0.07263371,0.07596538,31507.4468236407,414760.60310158
1660003200000,2022-08-09 00:00:00,DOGE/USD,0.07470531,0.07497425,0.07435576,0.07485538,758.2059266806162,10128.94366017
1659916800000,2022-08-08 00:00:00,DOGE/USD,0.07318969,0.07660075,0.07318969,0.07473862,34217.08348138316,457823.32455942
1659830400000,2022-08-07 00:00:00,DOGE/USD,0.07313421,0.07430461,0.07214973,0.07326908,20316.81211796955,277290.39477457
1659744000000,2022-08-06 00:00:00,DOGE/USD,0.07471122,0.07615028,0.07304084,0.07319319,30135.779183612256,411729.27677578
1659657600000,2022-08-05 00:00:00,DOGE/USD,0.07230374,0.07512088,0.07227259,0.07469604,38525.553225359596,515764.33269233
1659571200000,2022-08-04 00:00:00,DOGE/USD,0.07097439,0.07254675,0.07070261,0.07228129,20254.685675095283,280220.31254693
1659484800000,2022-08-03 00:00:00,DOGE/USD,0.07089537,0.07285674,0.069604,0.07086242,25182.13550810402,355366.57523274
1659398400000,2022-08-02 00:00:00,DOGE/USD,0.07260134,0.07316512,0.06950741,0.07097362,34682.8315536205,488672.15105585
1659312000000,2022-08-01 00:00:00,DOGE/USD,0.07314695,0.076,0.07126697,0.07286314,40680.25785355619,558310.52372374
1659225600000,2022-07-31 00:00:00,DOGE/USD,0.07406732,0.07692892,0.07304673,0.07316933,26704.624767727844,364970.19677135
1659139200000,2022-07-30 00:00:00,DOGE/USD,0.07340325,0.07899999,0.07263441,0.07405604,52325.03536030605,706559.99646087
1659052800000,2022-07-29 00:00:00,DOGE/USD,0.07405677,0.0773928,0.07162003,0.07339067,32747.963466584824,446214.25947719
1658966400000,2022-07-28 00:00:00,DOGE/USD,0.0734248,0.07570529,0.071,0.07400618,30229.68351019751,408475.12343155
1658880000000,2022-07-27 00:00:00,DOGE/USD,0.06920091,0.073818,0.06828511,0.07375299,24595.056543063532,333478.77208861
1658793600000,2022-07-26 00:00:00,DOGE/USD,0.0685558,0.0692489,0.06656001,0.06911561,28304.8569687033,409529.1493297
1658707200000,2022-07-25 00:00:00,DOGE/USD,0.07387523,0.07420173,0.06863786,0.06863786,35920.15618412227,523328.61461768
1658620800000,2022-07-24 00:00:00,DOGE/USD,0.07405914,0.07529999,0.07363351,0.07404011,20387.324091776838,275355.12969628
1658534400000,2022-07-23 00:00:00,DOGE/USD,0.07310847,0.07499999,0.07177611,0.0740931,18936.25252971169,255573.76502956
1658448000000,2022-07-22 00:00:00,DOGE/USD,0.07539638,0.07687197,0.0725022,0.07310119,38699.73545536047,529399.52763232
1658361600000,2022-07-21 00:00:00,DOGE/USD,0.07560016,0.0762419,0.07260264,0.07533238,27211.68277987523,361221.59926283
1658275200000,2022-07-20 00:00:00,DOGE/USD,0.07412276,0.08227903,0.07269406,0.07550473,56322.34084358024,745944.53676717
1658188800000,2022-07-19 00:00:00,DOGE/USD,0.07299257,0.07538195,0.07049801,0.07407756,44082.8119143152,595089.95590993
1658102400000,2022-07-18 00:00:00,DOGE/USD,0.06831281,0.07383999,0.06809354,0.07280737,46477.94287205698,638368.65515204
1658016000000,2022-07-17 00:00:00,DOGE/USD,0.0701783,0.071,0.06808247,0.06811107,21687.721820525603,318416.98890541
1657929600000,2022-07-16 00:00:00,DOGE/USD,0.06899417,0.07057897,0.06766504,0.07009988,16034.863397314275,228743.09338781
1657843200000,2022-07-15 00:00:00,DOGE/USD,0.0684898,0.07042206,0.06778633,0.06890951,16812.717087072167,243982.53720092
1657756800000,2022-07-14 00:00:00,DOGE/USD,0.0680789,0.06895529,0.06536087,0.06840427,29139.53686637626,425990.02761635
1657670400000,2022-07-13 00:00:00,DOGE/USD,0.06580119,0.06827427,0.06366153,0.06803962,29546.507132788247,434254.44076243
1657584000000,2022-07-12 00:00:00,DOGE/USD,0.06869291,0.06963829,0.06576985,0.06576985,20907.798493273534,317893.35832868
1657497600000,2022-07-11 00:00:00,DOGE/USD,0.07439364,0.07439364,0.0681,0.068545,20407.13178351063,297718.75094479
1657411200000,2022-07-10 00:00:00,DOGE/USD,0.07650368,0.0765205,0.07333561,0.07438421,23975.62285583658,322321.40202654
1657324800000,2022-07-09 00:00:00,DOGE/USD,0.07598336,0.07718462,0.07573317,0.0765681,41149.09499154367,537418.25892955
1657238400000,2022-07-08 00:00:00,DOGE/USD,0.0776212,0.0823202,0.07536922,0.07582932,35362.04408843854,466337.3493055
1657152000000,2022-07-07 00:00:00,DOGE/USD,0.07541498,0.07813446,0.07508535,0.07755247,28170.60711367469,363245.7755849
1657065600000,2022-07-06 00:00:00,DOGE/USD,0.07414333,0.07624973,0.07323162,0.07567397,18667.483499809576,246683.02059228
