https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SOL
1654473600000,2022-06-06 00:00:00,SOL/USDT,38.99,44.732428,38.99,42.574496,15549.790027205452,365.23720744
1654387200000,2022-06-05 00:00:00,SOL/USDT,38.655808,39.998204,38.0,38.5,12654.12345813,328.67853138
1654300800000,2022-06-04 00:00:00,SOL/USDT,37.7,38.72012,35.905696,38.453261,3694.807809847132,96.08568204
1654214400000,2022-06-03 00:00:00,SOL/USDT,40.692818,41.21,37.779392,38.790566,5418.440264825151,139.68448578
1654128000000,2022-06-02 00:00:00,SOL/USDT,40.01,41.222932,38.244706,41.121794,5827.476272030043,141.71259824
1654041600000,2022-06-01 00:00:00,SOL/USDT,45.759895,45.759895,39.86,40.44,7536.901804399199,186.37244818
1653955200000,2022-05-31 00:00:00,SOL/USDT,46.946424,47.962593,44.834346,46.07063,9899.4744176858,214.87603746
1653868800000,2022-05-30 00:00:00,SOL/USDT,44.498778,48.0,44.097367,47.107839,9944.915270775635,211.10956227
1653782400000,2022-05-29 00:00:00,SOL/USDT,43.834044,45.461689,42.059333,44.631333,14965.031170529242,335.30325367
1653696000000,2022-05-28 00:00:00,SOL/USDT,42.0,44.8,40.966777,44.8,9910.621514752,221.21923024
1653609600000,2022-05-27 00:00:00,SOL/USDT,43.3,43.618565,40,42.17,23598.5473183332,559.60510596
1653523200000,2022-05-26 00:00:00,SOL/USDT,48.303361,48.470752,42.0,43.4,10845.692847724,249.90075686
1653436800000,2022-05-25 00:00:00,SOL/USDT,49.091379,49.38999,47.6,48.227959,6884.482137448485,142.74877644
1653350400000,2022-05-24 00:00:00,SOL/USDT,49.822468,50.365371,47.5,49.581069,8300.96536246063,167.42207318
1653264000000,2022-05-23 00:00:00,SOL/USDT,53.1,54.648115,48.733712,49.379641,19547.597142187213,395.86349245
1653177600000,2022-05-22 00:00:00,SOL/USDT,50.443738,53.0,49.840303,53.0,15155.855502870001,285.95953779
1653091200000,2022-05-21 00:00:00,SOL/USDT,49.270071,51.1,49.036406,49.851606,8587.42781184407,172.25980266
1653004800000,2022-05-20 00:00:00,SOL/USDT,52.195085,53.5,45.056036,50.053218,17827.23004174476,356.16551251
1652918400000,2022-05-19 00:00:00,SOL/USDT,50.826696,53.94,48.325877,50.8,10565.808675299999,207.98835975
1652832000000,2022-05-18 00:00:00,SOL/USDT,57.593497,57.69,49.5,49.55241,15315.189080364984,309.07051908
1652745600000,2022-05-17 00:00:00,SOL/USDT,54.888928,58.1,53.073511,57.0,15879.507879210001,278.58785753
1652659200000,2022-05-16 00:00:00,SOL/USDT,58.400647,58.400647,50.053084,53.596497,18304.577320107575,341.52562844
1652572800000,2022-05-15 00:00:00,SOL/USDT,52.11,63.68665,49.823494,59.027723,15327.646710861209,259.66860878
1652486400000,2022-05-14 00:00:00,SOL/USDT,54.998989,61.271764,46.0,54.361014,33664.57707826338,619.27794574
1652400000000,2022-05-13 00:00:00,SOL/USDT,46,56,44.955437,48.8,13741.250604472,281.58300419
1652313600000,2022-05-12 00:00:00,SOL/USDT,51.74,54,40.69,46,30370.15427184,660.22074504
1652227200000,2022-05-11 00:00:00,SOL/USDT,67.723861,68.296465,45.47301,52.0,54723.3531546,1052.37217605
1652140800000,2022-05-10 00:00:00,SOL/USDT,62.984742,73.613858,60.606,66.852413,24287.295573915944,363.29721672
1652054400000,2022-05-09 00:00:00,SOL/USDT,76.902923,77.0,61.943921,62.212252,38072.34280074097,611.97499812
1651968000000,2022-05-08 00:00:00,SOL/USDT,79.65856,79.65856,74.0,75,25935.16834425,345.80224459
1651881600000,2022-05-07 00:00:00,SOL/USDT,80.471979,85.141861,76.597802,79.201433,37248.16874182174,470.2966516
1651795200000,2022-05-06 00:00:00,SOL/USDT,84.354444,84.354444,80.2,82.45931,29139.80657884089,353.38407002
1651708800000,2022-05-05 00:00:00,SOL/USDT,92.917984,95.0,81.777,84.390333,39878.674823447414,472.55027212
1651622400000,2022-05-04 00:00:00,SOL/USDT,86.145848,93,85.66442,92.911139,46269.8628759276,498.00124478
1651536000000,2022-05-03 00:00:00,SOL/USDT,87.289479,90.999659,84.946511,85.685575,29446.290775481146,343.65516921
1651449600000,2022-05-02 00:00:00,SOL/USDT,93.0,98.255576,85.234837,87.7,39162.383510453,446.54941289
1651363200000,2022-05-01 00:00:00,SOL/USDT,84.8,93.890044,84.8,89.310169,32269.42598083502,361.31860842
1651276800000,2022-04-30 00:00:00,SOL/USDT,94.400361,94.8124,82.555,84.709271,33262.93962124818,392.67177286
1651190400000,2022-04-29 00:00:00,SOL/USDT,98.461098,100,92.818183,94.117219,35544.27519404637,377.65964158
1651104000000,2022-04-28 00:00:00,SOL/USDT,99.820683,100.4,96.51,98.5258,31509.280919133776,319.80741003
1651017600000,2022-04-27 00:00:00,SOL/USDT,102.985014,103,97,98.684276,29113.421599653546,295.01580981
1650931200000,2022-04-26 00:00:00,SOL/USDT,101.344659,106,95.684766,98.000002,42682.614032093734,435.53686899
1650844800000,2022-04-25 00:00:00,SOL/USDT,99.0,105.39372,93.739047,100.382764,42431.6191417505,422.69825467
1650758400000,2022-04-24 00:00:00,SOL/USDT,100.57848,100.57848,100.57848,100.57848,0.8601994617695999,0.00855252
1650672000000,2022-04-23 00:00:00,SOL/USDT,100.0,102.65,98.766462,101.2,13006.085144491999,128.51862791
1650585600000,2022-04-22 00:00:00,SOL/USDT,103.013761,103.53037,99.234071,100.9,22678.080609816003,224.75798424
1650412800000,2022-04-20 00:00:00,SOL/USDT,108.649164,109.274627,107.017184,107.017184,203.67046432370176,1.90315664
1650326400000,2022-04-19 00:00:00,SOL/USDT,102.232966,108.68,100.873607,108.68,55290.797125278004,508.74859335
1650240000000,2022-04-18 00:00:00,SOL/USDT,100.378437,103.0,95.0,102.345129,33861.25014014332,330.85355865
1650153600000,2022-04-17 00:00:00,SOL/USDT,102.155053,105.459713,100.0,100.0,42337.816186,423.37816186
1650067200000,2022-04-16 00:00:00,SOL/USDT,101.5,103.640876,100.789659,102.548484,28694.5518696894,279.81449116
1649980800000,2022-04-15 00:00:00,SOL/USDT,100.459032,102.565192,100.459032,101,18026.43869201,178.47959101
