https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1692921600000,2023-08-25,DOGEUSDT,0.06308,0.06315,0.06169,0.06312,388436589.0,24229741.33631,52115
1692835200000,2023-08-24,DOGEUSDT,0.06379,0.06404,0.06183,0.06308,386270949.0,24385523.38063,53369
1692748800000,2023-08-23,DOGEUSDT,0.06258,0.06546,0.06246,0.06379,663722826.0,42264317.01664,87859
1692662400000,2023-08-22,DOGEUSDT,0.06253,0.06327,0.06023,0.06259,615086529.0,38272420.59631,82850
1692576000000,2023-08-21,DOGEUSDT,0.06384,0.06411,0.06035,0.06252,577388884.0,36081815.5837,80239
1692489600000,2023-08-20,DOGEUSDT,0.06379,0.06473,0.06338,0.06384,302086371.0,19333802.2943,42959
1692403200000,2023-08-19,DOGEUSDT,0.06326,0.0645,0.0631,0.06379,427274791.0,27183051.36486,58264
1692316800000,2023-08-18,DOGEUSDT,0.06102,0.06385,0.05988,0.06326,1284697455.0,79908012.67898,154599
1692230400000,2023-08-17,DOGEUSDT,0.06718,0.06843,0.0556,0.06102,1947998543.0,123620746.9089,274854
1692144000000,2023-08-16,DOGEUSDT,0.07092,0.07125,0.06602,0.06717,1176873403.0,80984467.18602,153290
1692057600000,2023-08-15,DOGEUSDT,0.0747,0.07499,0.06831,0.07093,1006789294.0,72662457.6909,151306
1691971200000,2023-08-14,DOGEUSDT,0.07479,0.07711,0.07365,0.07469,779632649.0,58473264.94941,121040
1691884800000,2023-08-13,DOGEUSDT,0.0767,0.07689,0.0743,0.07479,468528019.0,35488657.73304,71384
1691798400000,2023-08-12,DOGEUSDT,0.07574,0.07745,0.07561,0.0767,588060644.0,45058875.63219,84459
1691712000000,2023-08-11,DOGEUSDT,0.07587,0.07611,0.07484,0.07574,303787779.0,22955077.04023,51419
1691625600000,2023-08-10,DOGEUSDT,0.07542,0.07695,0.07514,0.07588,614532410.0,46647469.9491,101988
1691539200000,2023-08-09,DOGEUSDT,0.07497,0.07622,0.07419,0.07541,494836584.0,37220409.3012,80476
1691452800000,2023-08-08,DOGEUSDT,0.07354,0.07548,0.07321,0.07496,573574471.0,42649913.08335,91886
1691366400000,2023-08-07,DOGEUSDT,0.07427,0.07573,0.0717,0.07354,686024165.0,50661657.39198,113898
1691280000000,2023-08-06,DOGEUSDT,0.07572,0.07649,0.07407,0.07427,667225173.0,50167367.34445,101876
1691193600000,2023-08-05,DOGEUSDT,0.07346,0.07708,0.07292,0.07571,1062980193.0,80361897.6085,156317
1691107200000,2023-08-04,DOGEUSDT,0.07358,0.07492,0.0725,0.07347,610889682.0,45185318.55173,98193
1691020800000,2023-08-03,DOGEUSDT,0.07422,0.07501,0.07253,0.07358,693788058.0,51326141.31088,107325
1690934400000,2023-08-02,DOGEUSDT,0.07815,0.07833,0.07369,0.07422,804142710.0,60836505.04171,124670
1690848000000,2023-08-01,DOGEUSDT,0.07786,0.07828,0.07517,0.07815,873111968.0,67040145.5697,129965
1690761600000,2023-07-31,DOGEUSDT,0.07802,0.0798,0.07672,0.07786,845233630.0,66206001.13514,141657
1690675200000,2023-07-30,DOGEUSDT,0.08024,0.08057,0.07622,0.07802,1058535152.0,83772145.22556,176189
1690588800000,2023-07-29,DOGEUSDT,0.07717,0.08243,0.07683,0.08023,1189212485.0,94327162.57102,187694
1690502400000,2023-07-28,DOGEUSDT,0.07761,0.07791,0.07586,0.07717,845464658.0,65109003.88713,126780
1690416000000,2023-07-27,DOGEUSDT,0.07794,0.07996,0.07666,0.07761,1390657420.0,108963531.77816,203672
1690329600000,2023-07-26,DOGEUSDT,0.08185,0.08229,0.07647,0.07793,2421416701.0,191653652.84432,385966
1690243200000,2023-07-25,DOGEUSDT,0.0742,0.0838,0.07361,0.08185,3974103246.0,313632445.0117,670567
1690156800000,2023-07-24,DOGEUSDT,0.07179,0.0779,0.07018,0.0742,3734795178.0,279829292.46351,616800
1690070400000,2023-07-23,DOGEUSDT,0.07047,0.07295,0.06997,0.0718,636160266.0,45717792.76659,95828
1689984000000,2023-07-22,DOGEUSDT,0.07322,0.0733,0.06963,0.07047,817196460.0,58570412.04585,121175
1689897600000,2023-07-21,DOGEUSDT,0.07061,0.07688,0.07026,0.07322,1714323052.0,125872266.19518,278831
1689811200000,2023-07-20,DOGEUSDT,0.07004,0.0739,0.06926,0.07062,1394548088.0,99770589.80378,206797
1689724800000,2023-07-19,DOGEUSDT,0.06867,0.07235,0.06823,0.07003,941079033.0,65896478.84647,159532
1689638400000,2023-07-18,DOGEUSDT,0.06982,0.07032,0.06703,0.06866,588900425.0,40400764.8532,105637
1689552000000,2023-07-17,DOGEUSDT,0.06951,0.07325,0.06752,0.06982,1103083153.0,77313205.64979,184680
1689465600000,2023-07-16,DOGEUSDT,0.07196,0.07221,0.06891,0.06952,930666895.0,65785219.4842,139841
1689379200000,2023-07-15,DOGEUSDT,0.06848,0.07522,0.06769,0.07197,2333412778.0,169555438.69357,348582
1689292800000,2023-07-14,DOGEUSDT,0.07042,0.07311,0.06612,0.06849,1501930500.0,105437639.04108,242751
1689206400000,2023-07-13,DOGEUSDT,0.06504,0.07168,0.06455,0.07042,1572353798.0,107974602.3465,252484
1689120000000,2023-07-12,DOGEUSDT,0.06529,0.0657,0.06365,0.06503,312404127.0,20289741.40216,53198
1689033600000,2023-07-11,DOGEUSDT,0.06523,0.06551,0.06437,0.06528,313014382.0,20328586.42436,53178
1688947200000,2023-07-10,DOGEUSDT,0.06537,0.06656,0.06326,0.06523,616363367.0,39955694.54037,92601
1688860800000,2023-07-09,DOGEUSDT,0.06573,0.06636,0.0651,0.06536,279080489.0,18358802.15212,41654
1688774400000,2023-07-08,DOGEUSDT,0.0654,0.06608,0.06474,0.06573,278674788.0,18218680.63466,44169
1688688000000,2023-07-07,DOGEUSDT,0.06484,0.06587,0.0641,0.0654,410024265.0,26781021.84796,66351
1688601600000,2023-07-06,DOGEUSDT,0.06697,0.06858,0.06466,0.06485,620315296.0,41310812.25522,102278
1688515200000,2023-07-05,DOGEUSDT,0.06891,0.06936,0.06558,0.06701,592363243.0,39862578.36768,98485
1688428800000,2023-07-04,DOGEUSDT,0.06845,0.07186,0.06764,0.0689,1051878193.0,73023095.2265,173986
1688342400000,2023-07-03,DOGEUSDT,0.06801,0.06878,0.06721,0.06845,566630919.0,38549024.24769,91890
1688256000000,2023-07-02,DOGEUSDT,0.06851,0.0692,0.066,0.06801,945225786.0,63910497.52448,127013
1688169600000,2023-07-01,DOGEUSDT,0.06646,0.0728,0.06641,0.06851,1480878387.0,101954533.09148,243539
1688083200000,2023-06-30,DOGEUSDT,0.06342,0.06698,0.06101,0.06646,1114226909.0,72688463.48364,198253
1687996800000,2023-06-29,DOGEUSDT,0.06257,0.0641,0.06241,0.06342,450376389.0,28450957.38809,73138
1687910400000,2023-06-28,DOGEUSDT,0.06557,0.06596,0.06013,0.06257,700025590.0,44443036.70018,114022
1687824000000,2023-06-27,DOGEUSDT,0.06474,0.06579,0.06433,0.06556,477097877.0,31114201.05517,72674
1687737600000,2023-06-26,DOGEUSDT,0.06672,0.06681,0.06319,0.06474,710375009.0,46417573.76788,113763
1687651200000,2023-06-25,DOGEUSDT,0.06669,0.068,0.06635,0.06672,378779847.0,25456715.53541,68512
1687564800000,2023-06-24,DOGEUSDT,0.06823,0.06843,0.06505,0.06669,638939181.0,42945397.7126,106535
1687478400000,2023-06-23,DOGEUSDT,0.06556,0.07013,0.06525,0.06823,780327080.0,52684721.70418,138016
1687392000000,2023-06-22,DOGEUSDT,0.06562,0.06938,0.06502,0.06555,998222870.0,66966814.32449,167076
1687305600000,2023-06-21,DOGEUSDT,0.06314,0.06677,0.06284,0.06561,948481988.0,61394849.38643,144569
1687219200000,2023-06-20,DOGEUSDT,0.06244,0.06314,0.06074,0.06313,438420606.0,27230997.25707,64889
1687132800000,2023-06-19,DOGEUSDT,0.06212,0.06285,0.06151,0.06245,313699473.0,19469370.97016,48514
1687046400000,2023-06-18,DOGEUSDT,0.0622,0.06399,0.06107,0.06212,616148520.0,38439286.52508,92314
1686960000000,2023-06-17,DOGEUSDT,0.06219,0.06297,0.06166,0.0622,358515676.0,22354492.32997,49618
1686873600000,2023-06-16,DOGEUSDT,0.06154,0.06282,0.06069,0.06219,501181424.0,30939222.82953,71805
1686787200000,2023-06-15,DOGEUSDT,0.06038,0.062,0.05975,0.06153,534409612.0,32540254.9184,78903
1686700800000,2023-06-14,DOGEUSDT,0.06174,0.06219,0.05811,0.06038,642700404.0,38884225.34061,98050
1686614400000,2023-06-13,DOGEUSDT,0.06144,0.06284,0.06006,0.06175,469560125.0,28919978.69953,73245
1686528000000,2023-06-12,DOGEUSDT,0.06152,0.0617,0.05975,0.06143,485251023.0,29613143.7058,78388
1686441600000,2023-06-11,DOGEUSDT,0.06175,0.06289,0.06092,0.06151,580462318.0,35906374.71752,84690
1686355200000,2023-06-10,DOGEUSDT,0.06947,0.07196,0.053,0.06175,2781711103.0,171561454.57232,448360
1686268800000,2023-06-09,DOGEUSDT,0.06796,0.07119,0.06729,0.06947,664528733.0,46007799.06456,118881
1686182400000,2023-06-08,DOGEUSDT,0.06728,0.0685,0.06698,0.06796,366934419.0,24883849.00859,67036
1686096000000,2023-06-07,DOGEUSDT,0.07025,0.07032,0.06668,0.06728,687833819.0,46875925.6902,114747
1686009600000,2023-06-06,DOGEUSDT,0.0664,0.07199,0.06585,0.07025,1170265603.0,80278280.52343,184942
1685923200000,2023-06-05,DOGEUSDT,0.07249,0.07269,0.06311,0.0664,1393290604.0,93957296.05613,218006
1685836800000,2023-06-04,DOGEUSDT,0.07271,0.07334,0.07232,0.07249,273284700.0,19897118.0819,43912
1685750400000,2023-06-03,DOGEUSDT,0.07257,0.07298,0.07217,0.0727,213922814.0,15515563.86423,37449
1685664000000,2023-06-02,DOGEUSDT,0.07143,0.07331,0.0709,0.07256,386392712.0,27887432.7709,67073
1685577600000,2023-06-01,DOGEUSDT,0.07165,0.07219,0.07071,0.07142,337422502.0,24166514.24753,56544
1685491200000,2023-05-31,DOGEUSDT,0.07231,0.07268,0.07051,0.07165,377200792.0,26991707.23201,63894
1685404800000,2023-05-30,DOGEUSDT,0.07313,0.07346,0.07198,0.07231,465392836.0,33825735.03435,70527
1685318400000,2023-05-29,DOGEUSDT,0.07353,0.074,0.07261,0.07313,310287767.0,22734577.5598,50455
1685232000000,2023-05-28,DOGEUSDT,0.07255,0.07396,0.07186,0.07352,434942386.0,31668628.89389,70429
