https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1663804800000,2022-09-22 00:00:00,DAI/USD,1.115586,1.12,1.100648,1.103754,17062.17700611043,15458.31499239
1663718400000,2022-09-21 00:00:00,DAI/USD,1.105353,1.12,1.092343,1.113039,17637.189441619874,15845.97614425
1663632000000,2022-09-20 00:00:00,DAI/USD,1.10509,1.113373,1.098301,1.105834,17227.785894204975,15578.99819883
1663545600000,2022-09-19 00:00:00,DAI/USD,1.101859,1.12,1.097995,1.102141,17380.43970765262,15769.70615162
1663459200000,2022-09-18 00:00:00,DAI/USD,1.099065,1.1059,1.097746,1.101938,17257.098099699655,15660.67972944
1663372800000,2022-09-17 00:00:00,DAI/USD,1.098048,1.102892,1.0958,1.099956,17124.829755404957,15568.64979636
1663286400000,2022-09-16 00:00:00,DAI/USD,1.101977,1.105899,1.0972,1.098017,17235.94711922834,15697.34086014
1663200000000,2022-09-15 00:00:00,DAI/USD,1.093,1.105499,1.093,1.100506,16834.658362891085,15297.1981642
1663113600000,2022-09-14 00:00:00,DAI/USD,1.077853,1.099999,1.077853,1.096134,13905.936206919561,12686.34693105
1663027200000,2022-09-13 00:00:00,DAI/USD,1.084523,1.092154,1.067259,1.091676,16473.483302271678,15090.08469754
1662940800000,2022-09-12 00:00:00,DAI/USD,1.084543,1.085277,1.08118,1.083134,17076.26451742172,15765.60658
1662854400000,2022-09-11 00:00:00,DAI/USD,1.089152,1.09483,1.08205,1.083426,17107.877041980166,15790.53580215
1662768000000,2022-09-10 00:00:00,DAI/USD,1.094581,1.09724,1.083132,1.088929,17051.634166915515,15659.0872012
1662681600000,2022-09-09 00:00:00,DAI/USD,1.103441,1.104856,1.090528,1.097155,17277.599218580588,15747.63749751
1662595200000,2022-09-08 00:00:00,DAI/USD,1.105026,1.108699,1.0967,1.103151,16937.663418912274,15353.89390837
1662508800000,2022-09-07 00:00:00,DAI/USD,1.100922,1.106936,1.095505,1.102767,17114.69372846341,15519.77319639
1662422400000,2022-09-06 00:00:00,DAI/USD,1.104639,1.109884,1.095107,1.102403,17637.60994292091,15999.23979064
1662336000000,2022-09-05 00:00:00,DAI/USD,1.100922,1.109058,1.097201,1.101764,16360.283372254802,14849.17221134
1662249600000,2022-09-04 00:00:00,DAI/USD,1.102763,1.104265,1.097609,1.101085,17131.603611661532,15558.83842906
1662163200000,2022-09-03 00:00:00,DAI/USD,1.099726,1.105899,1.096609,1.100325,17287.336138652547,15711.11820476
1662076800000,2022-09-02 00:00:00,DAI/USD,1.10255,1.1139,1.095107,1.100301,17589.433065513254,15986.01933972
1661990400000,2022-09-01 00:00:00,DAI/USD,1.098963,1.119887,1.095501,1.099611,17643.123484222608,16044.87721951
1661904000000,2022-08-31 00:00:00,DAI/USD,1.103404,1.106099,1.087901,1.096223,16495.649328302043,15047.71321921
1661817600000,2022-08-30 00:00:00,DAI/USD,1.102549,1.1065,1.09292,1.10379,18048.755615793194,16351.62088422
1661731200000,2022-08-29 00:00:00,DAI/USD,1.090581,1.110538,1.086385,1.10105,18340.138314132586,16656.95319389
1661644800000,2022-08-28 00:00:00,DAI/USD,1.093816,1.096221,1.086385,1.088978,16797.971160267323,15425.44584029
1661558400000,2022-08-27 00:00:00,DAI/USD,1.090397,1.099625,1.084565,1.092651,17331.906985065292,15862.25334994
1661472000000,2022-08-26 00:00:00,DAI/USD,1.099721,1.103899,1.082001,1.089039,16991.07868025869,15601.90101572
1661385600000,2022-08-25 00:00:00,DAI/USD,1.100657,1.103899,1.092033,1.097536,17236.812665806585,15705.00891616
1661299200000,2022-08-24 00:00:00,DAI/USD,1.098716,1.101897,1.089648,1.100943,17901.16032463874,16259.84299336
1661212800000,2022-08-23 00:00:00,DAI/USD,1.099809,1.103599,1.092188,1.100515,16848.6617318166,15309.79744194
1661126400000,2022-08-22 00:00:00,DAI/USD,1.096408,1.099795,1.096043,1.098048,845.49696,770.0
1661040000000,2022-08-21 00:00:00,DAI/USD,1.10061,1.104,1.08,1.096518,20512.667064754856,18707.09561061
1660953600000,2022-08-20 00:00:00,DAI/USD,1.0961,1.104,1.095115,1.099817,17866.12937670952,16244.63831411
1660867200000,2022-08-19 00:00:00,DAI/USD,1.067529,1.100593,1.06382,1.096694,20611.289948986472,18794.02089278
1660780800000,2022-08-18 00:00:00,DAI/USD,1.068334,1.079889,1.0599,1.068215,17605.81465853414,16481.52727544
1660694400000,2022-08-17 00:00:00,DAI/USD,1.063272,1.073433,1.056404,1.068205,16943.10256131728,15861.28370614
1660608000000,2022-08-16 00:00:00,DAI/USD,1.065359,1.070717,1.053301,1.063878,16182.106045438679,15210.49034329
1660521600000,2022-08-15 00:00:00,DAI/USD,1.060346,1.066331,1.050088,1.064674,17000.514195620028,15967.81192705
1660435200000,2022-08-14 00:00:00,DAI/USD,1.058535,1.064099,1.056338,1.059374,16316.281504880155,15401.81418921
1660348800000,2022-08-13 00:00:00,DAI/USD,1.057323,1.061999,1.048143,1.058228,16152.455854156633,15263.68216883
