https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1665532800,2022-10-12 00:00:00,ETH/USDT,1280.4,1303.7,1277.8,1294.4,177.21953847,229392.970595568
1665446400,2022-10-11 00:00:00,ETH/USDT,1285.0,1296.6,1270.4,1279.5,664.55939483,850303.745684985
1665360000,2022-10-10 00:00:00,ETH/USDT,1323.4,1337.6,1289.9,1293.2,284.06116191,367347.894582012
1665273600,2022-10-09 00:00:00,ETH/USDT,1313.9,1326.7,1308.4,1322.7,114.39798990,151314.22124073
1665187200,2022-10-08 00:00:00,ETH/USDT,1331.9,1336.2,1304.3,1311.3,134.10367156,175850.144516628
1665100800,2022-10-07 00:00:00,ETH/USDT,1353.7,1360.9,1319.8,1332.9,529.82003049,706197.1186401211
1665014400,2022-10-06 00:00:00,ETH/USDT,1351.6,1380.0,1348.7,1351.1,739.73860886,999460.8344307459
1664928000,2022-10-05 00:00:00,ETH/USDT,1356.2,1357.7,1318.2,1351.8,307.78430781,416062.82729755796
1664841600,2022-10-04 00:00:00,ETH/USDT,1323.1,1370.0,1319.1,1364.3,582.79007936,795100.505270848
1664755200,2022-10-03 00:00:00,ETH/USDT,1264.3,1328.0,1264.0,1324.5,563.94100556,746939.86186422
1664668800,2022-10-02 00:00:00,ETH/USDT,1310.7,1313.8,1269.0,1274.0,198.87986727,253372.95090198002
1664582400,2022-10-01 00:00:00,ETH/USDT,1328.1,1332.5,1303.9,1311.2,59.86374806,78493.346456272
1664496000,2022-09-30 00:00:00,ETH/USDT,1334.0,1370.4,1317.3,1325.2,562.35260836,745229.6765986719
1664409600,2022-09-29 00:00:00,ETH/USDT,1337.4,1351.7,1292.2,1336.3,938.85406250,1254590.68371875
1664323200,2022-09-28 00:00:00,ETH/USDT,1331.2,1355.2,1266.0,1337.4,803.76248333,1074951.945205542
1664236800,2022-09-27 00:00:00,ETH/USDT,1333.2,1400.0,1304.4,1330.2,779.64002520,1037077.16152104
1664150400,2022-09-26 00:00:00,ETH/USDT,1309.0,1336.0,1281.6,1335.1,111.10524476,148336.61227907598
1664064000,2022-09-25 00:00:00,ETH/USDT,1322.0,1335.3,1283.0,1298.4,46.10050724,59856.898600416
1663977600,2022-09-24 00:00:00,ETH/USDT,1328.6,1346.4,1313.6,1315.7,51.34791661,67558.453883777
1663891200,2022-09-23 00:00:00,ETH/USDT,1332.9,1356.9,1264.1,1328.5,200.46255470,266314.50391895
1663804800,2022-09-22 00:00:00,ETH/USDT,1248.4,1337.5,1239.1,1325.9,329.69944714,437148.49696292606
1663718400,2022-09-21 00:00:00,ETH/USDT,1325.2,1385.4,1225.0,1248.2,199.66726900,249224.6851658
1663632000,2022-09-20 00:00:00,ETH/USDT,1379.4,1379.8,1315.8,1324.4,103.94839943,137669.260205092
1663545600,2022-09-19 00:00:00,ETH/USDT,1338.5,1391.6,1285.0,1380.4,276.99722234,382366.96571813605
1663459200,2022-09-18 00:00:00,ETH/USDT,1465.4,1465.4,1327.1,1332.7,84.76441565,112965.536736755
1663372800,2022-09-17 00:00:00,ETH/USDT,1448.4,1468.7,1416.3,1464.8,80.55373404,117995.10962179198
1663286400,2022-09-16 00:00:00,ETH/USDT,1473.0,1477.9,1412.9,1438.0,220.73674739,317419.44274682
1663200000,2022-09-15 00:00:00,ETH/USDT,1632.3,1660.0,1461.2,1471.5,777.25527591,1143731.138501565
1663113600,2022-09-14 00:00:00,ETH/USDT,1571.9,1645.9,1557.3,1633.4,140.00189900,228679.10182660003
1663027200,2022-09-13 00:00:00,ETH/USDT,1717.1,1756.8,1562.9,1575.4,300.80241264,473884.120873056
1662940800,2022-09-12 00:00:00,ETH/USDT,1766.8,1766.8,1694.3,1714.1,161.00191238,275973.37801055796
1662854400,2022-09-11 00:00:00,ETH/USDT,1774.6,1785.5,1717.8,1762.7,70.77320564,124751.929581628
1662768000,2022-09-10 00:00:00,ETH/USDT,1719.8,1782.4,1712.1,1779.5,117.08145533,208346.449759735
1662681600,2022-09-09 00:00:00,ETH/USDT,1640.0,1740.0,1634.7,1716.9,118.85218802,204057.321611538
1662595200,2022-09-08 00:00:00,ETH/USDT,1624.9,1656.4,1600.0,1635.0,138.81904805,226969.14356174998
1662508800,2022-09-07 00:00:00,ETH/USDT,1558.7,1653.4,1495.6,1622.3,405.26366624,657459.245741152
1662422400,2022-09-06 00:00:00,ETH/USDT,1618.3,1683.0,1557.8,1560.5,376.30841671,587229.284275955
1662336000,2022-09-05 00:00:00,ETH/USDT,1575.5,1606.2,1559.0,1603.2,18.20895508,29192.596784256
1662249600,2022-09-04 00:00:00,ETH/USDT,1550.7,1574.1,1542.4,1574.1,12.74717855,20065.333755555
1662163200,2022-09-03 00:00:00,ETH/USDT,1575.4,1580.5,1537.1,1554.7,4.82023330,7494.01671151
1662076800,2022-09-02 00:00:00,ETH/USDT,1577.8,1669.8,1551.3,1575.1,68.38280859,107709.76181010899
1661990400,2022-09-01 00:00:00,ETH/USDT,1531.9,1609.9,1519.2,1586.2,54.00826443,85667.909038866
1661904000,2022-08-31 00:00:00,ETH/USDT,1541.6,1612.0,1538.9,1553.7,157.18911034,244224.72073525802
1661817600,2022-08-30 00:00:00,ETH/USDT,1548.3,1598.5,1482.1,1547.0,37.84689782,58549.15092754
1661731200,2022-08-29 00:00:00,ETH/USDT,1428.3,1553.8,1423.6,1550.6,75.92628825,117731.30256044999
1661644800,2022-08-28 00:00:00,ETH/USDT,1481.4,1503.1,1423.7,1427.6,40.23333301,57437.106205076
1661558400,2022-08-27 00:00:00,ETH/USDT,1504.8,1517.5,1448.3,1492.0,107.54401900,160455.676348
1661472000,2022-08-26 00:00:00,ETH/USDT,1684.2,1711.0,1496.9,1496.9,641.65990791,960500.716150479
1661385600,2022-08-25 00:00:00,ETH/USDT,1659.0,1720.0,1659.0,1698.3,103.53648247,175836.00817880098
1661299200,2022-08-24 00:00:00,ETH/USDT,1660.7,1689.9,1585.8,1662.8,60.87244501,101218.70156262799
1661212800,2022-08-23 00:00:00,ETH/USDT,1624.2,1696.3,1570.2,1661.5,83.32752785,138448.687522775
1661126400,2022-08-22 00:00:00,ETH/USDT,1608.9,1626.4,1534.3,1626.4,163.20834109,265442.045948776
